area_title,annual_avg_emplvl,avg_annual_pay,year,state_total_spending,Allocated_Spending,Efficiency_Index,Salary_Replacement_Ratio
FIPS: 1000,1983902,50523.41309600978,2020,9200000000.0,4206800571.143428,2120.4679319560278,0.041970005627420634
FIPS: 1000,55021,80032.53586812309,2020,9200000000.0,116670266.08415262,2120.467931956028,0.026495073646674357
FIPS: 1000,99035,53639.85984752865,2020,9200000000.0,210000541.64126524,2120.467931956028,0.039531571073889084
FIPS: 1000,216805,43835.700966306125,2020,9200000000.0,459728049.9877267,2120.467931956028,0.04837308142023108
FIPS: 1000,1613041,50224.394459905234,2020,9200000000.0,3420401713.430283,2120.4679319560278,0.04221988049350847
FIPS: 1000,370861,51823.97939928976,2020,9200000000.0,786398857.7131444,2120.4679319560278,0.040916733074826135
FIPS: 1000,1941347,51286.04120335005,2021,10100000000.0,4619439756.772452,2379.502354175968,0.04639668608347444
FIPS: 1000,55568,81804.51410883962,2021,10100000000.0,132224186.81685019,2379.502354175968,0.029087665639210048
FIPS: 1000,97333,54613.34507309957,2021,10100000000.0,231604102.63900948,2379.502354175968,0.04356998002944191
FIPS: 1000,208990,44732.478376955834,2021,10100000000.0,497292196.9992355,2379.502354175968,0.053194064816265145
FIPS: 1000,1579456,50874.45780066048,2021,10100000000.0,3758319270.3173575,2379.502354175968,0.046772043517387146
FIPS: 1000,361891,53082.37732355875,2021,10100000000.0,861120486.4550952,2379.502354175968,0.04482659734080729
FIPS: 1000,2002768,55349.53125674067,2022,10800000000.0,4949826274.666583,2471.4925915865356,0.04465245749096652
FIPS: 1000,54876,85649.0509512355,2022,10800000000.0,135625627.45590273,2471.4925915865356,0.028856041767394317
FIPS: 1000,96194,57626.54880761794,2022,10800000000.0,237742758.3550752,2471.4925915865356,0.042888089651827575
FIPS: 1000,213223,47313.05448286536,2022,10800000000.0,526979064.85585594,2471.492591586536,0.05223701193254387
FIPS: 1000,1638475,55246.88081539236,2022,10800000000.0,4049478823.999749,2471.4925915865356,0.04473542316072172
FIPS: 1000,364293,55811.22056147112,2022,10800000000.0,900347450.6668339,2471.4925915865356,0.044283077250826385
FIPS: 1000,2059653,60271.993845565245,2023,11000000000.0,5043659268.127674,2448.790775983952,0.04062899897186878
FIPS: 1000,56231,94527.89699631876,2023,11000000000.0,137697954.12435362,2448.7907759839522,0.025905482442704894
FIPS: 1000,98094,66356.79258670255,2023,11000000000.0,240211682.3793698,2448.7907759839522,0.03690339271272544
FIPS: 1000,218382,50955.78659413321,2023,11000000000.0,534771827.2409274,2448.790775983952,0.048057167589007306
FIPS: 1000,1686946,59982.33788396309,2023,11000000000.0,4130977804.3830237,2448.790775983952,0.04082519725591859
FIPS: 1000,372707,61583.034329915994,2023,11000000000.0,912681463.7446507,2448.790775983952,0.03976404869667766
FIPS: 1000,2095004,62043.347474276896,2024,11160000000.0,5107602523.452563,2437.991776365374,0.03929497481379712
FIPS: 1000,57908,98495.15327761277,2024,11160000000.0,141179227.78576607,2437.991776365374,0.02475240349638109
FIPS: 1000,105354,65289.433490897354,2024,11160000000.0,256852185.60719755,2437.9917763653734,0.03734129163037198
FIPS: 1000,224268,52809.62102484528,2024,11160000000.0,546763539.7019097,2437.991776365374,0.046165674531509604
FIPS: 1000,1707474,61819.61935115849,2024,11160000000.0,4162807570.3576903,2437.991776365374,0.03943718518415119
FIPS: 1000,387530,63029.10329522876,2024,11160000000.0,944794953.0948733,2437.991776365374,0.038680413474166106
